"Study","RR","CI_lower","CI_upper","I2"
"Aronson (1948)",0.493,0.34,0.716,93.2
"Ferguson & Simes (1949)",0.52,0.365,0.741,92.3
"Rosenthal et al (1960)",0.504,0.35,0.725,92.9
"Hart & Sutherland (1977)",0.533,0.377,0.754,90.4
"Frimodt-Moller et al (1973)",0.466,0.32,0.678,92.8
"Stein & Aronson (1953)",0.491,0.332,0.727,90.9
"Vandiviere et al (1973)",0.519,0.365,0.74,92.3
"TPT Madras (1980)",0.452,0.317,0.643,87
"Coetzee & Berjak (1968)",0.477,0.324,0.701,93.2
"Rosenthal et al (1961)",0.52,0.363,0.747,92.2
"Comstock et al (1974)",0.469,0.319,0.688,91.8
"Comstock & Webster (1969)",0.468,0.327,0.668,92.7
"Comstock et al (1976)",0.46,0.319,0.661,92.3
