key,value
rung1_msd_heldout_n_evaluated,9
rung1_msd_heldout_n_scored,9
rung1_msd_heldout_dice_median,0.9595
rung1_msd_heldout_dice_ci_low,0.9367
rung1_msd_heldout_dice_ci_high,0.9734
rung1_msd_heldout_n_empty_prediction,0
rung2_amos_ct_n_evaluated,300
rung2_amos_ct_n_scored,298
rung2_amos_ct_dice_median,0.8932
rung2_amos_ct_dice_ci_low,0.8633
rung2_amos_ct_dice_ci_high,0.9108
rung2_amos_ct_n_empty_prediction,28
rung3_amos_mri_n_evaluated,60
rung3_amos_mri_n_scored,59
rung3_amos_mri_dice_median,0.0152
rung3_amos_mri_dice_ci_low,0.0000
rung3_amos_mri_dice_ci_high,0.0626
rung3_amos_mri_n_empty_prediction,20
