arm,subgroup_axis,stratum,n_scored,dice_median_95CI
rung1 MSD held-out (internal),spleen volume,small (<100 mL),1,0.9367 [0.9367-0.9367]
rung1 MSD held-out (internal),spleen volume,normal (100-250 mL),4,0.9517 [0.9205-0.9668]
rung1 MSD held-out (internal),spleen volume,enlarged (>=250 mL),4,0.9725 [0.9549-0.9803]
rung1 MSD held-out (internal),slice thickness,thin (<2 mm),3,0.9595 [0.9549-0.9668]
rung1 MSD held-out (internal),slice thickness,mid (2-5 mm),2,0.9403 [0.9367-0.9439]
rung1 MSD held-out (internal),slice thickness,thick (>=5 mm),4,0.9725 [0.9205-0.9803]
rung2 AMOS CT (external),spleen volume,small (<100 mL),37,0.8157 [0.0549-0.9031]
rung2 AMOS CT (external),spleen volume,normal (100-250 mL),194,0.9114 [0.8940-0.9254]
rung2 AMOS CT (external),spleen volume,enlarged (>=250 mL),67,0.7694 [0.6134-0.8681]
rung2 AMOS CT (external),slice thickness,thin (<2 mm),5,0.9219 [0.8584-0.9368]
rung2 AMOS CT (external),slice thickness,mid (2-5 mm),74,0.9292 [0.8888-0.9412]
rung2 AMOS CT (external),slice thickness,thick (>=5 mm),219,0.8752 [0.8310-0.8974]
rung3 AMOS MRI (modality shift),spleen volume,small (<100 mL),7,0.0000 [0.0000-0.2402]
rung3 AMOS MRI (modality shift),spleen volume,normal (100-250 mL),41,0.0343 [0.0000-0.2717]
rung3 AMOS MRI (modality shift),spleen volume,enlarged (>=250 mL),11,0.0000 [0.0000-0.0401]
rung3 AMOS MRI (modality shift),slice thickness,thin (<2 mm),26,0.0057 [0.0000-0.1021]
rung3 AMOS MRI (modality shift),slice thickness,mid (2-5 mm),33,0.0343 [0.0000-0.2717]
rung3 AMOS MRI (modality shift),slice thickness,thick (>=5 mm),0,n/a
rung3b AMOS MRI rescaled (counterfactual),spleen volume,small (<100 mL),7,0.0000 [0.0000-0.3801]
rung3b AMOS MRI rescaled (counterfactual),spleen volume,normal (100-250 mL),41,0.3086 [0.1744-0.5011]
rung3b AMOS MRI rescaled (counterfactual),spleen volume,enlarged (>=250 mL),11,0.3321 [0.0514-0.6257]
rung3b AMOS MRI rescaled (counterfactual),slice thickness,thin (<2 mm),26,0.3561 [0.2521-0.5089]
rung3b AMOS MRI rescaled (counterfactual),slice thickness,mid (2-5 mm),33,0.1865 [0.0018-0.3910]
rung3b AMOS MRI rescaled (counterfactual),slice thickness,thick (>=5 mm),0,n/a
rung3c AMOS MRI z-scored (counterfactual),spleen volume,small (<100 mL),7,0.0000 [0.0000-0.3221]
rung3c AMOS MRI z-scored (counterfactual),spleen volume,normal (100-250 mL),41,0.2947 [0.1247-0.4333]
rung3c AMOS MRI z-scored (counterfactual),spleen volume,enlarged (>=250 mL),11,0.3546 [0.0119-0.5618]
rung3c AMOS MRI z-scored (counterfactual),slice thickness,thin (<2 mm),26,0.3283 [0.1989-0.4924]
rung3c AMOS MRI z-scored (counterfactual),slice thickness,mid (2-5 mm),33,0.1773 [0.0036-0.3546]
rung3c AMOS MRI z-scored (counterfactual),slice thickness,thick (>=5 mm),0,n/a
