arm,case,dice,hd95_mm,gt_ml,pred_ml,gt_empty,pred_empty,spacing_x,spacing_y,spacing_z
rung2_amos_ct,amos_0001,0.001287,73.0757,242.54,0.156,0,0,0.5703125,0.5703125,5.0
rung2_amos_ct,amos_0004,0.925626,2.7849,71.775,65.497,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0005,0.0,,154.163,0.0,0,1,0.5690104365348816,0.5690104365348816,5.0
rung2_amos_ct,amos_0006,0.00606,301.4638,563.075,12.156,0,0,0.8349999785423279,0.8349999785423279,5.0
rung2_amos_ct,amos_0007,0.752441,23.8603,425.271,261.308,0,0,0.5182291865348816,0.5182291865348816,5.0
rung2_amos_ct,amos_0008,0.889544,4.6904,96.361,77.953,0,0,0.6158854365348816,0.6158854365348816,5.0
rung2_amos_ct,amos_0009,0.892344,7.4549,315.77,258.828,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0010,0.924152,3.232,87.67,83.319,0,0,0.8080000281333923,0.8080000281333923,5.0
rung2_amos_ct,amos_0011,0.946498,2.2118,128.386,128.157,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0013,0.199919,56.8556,288.347,35.979,0,0,0.781000018119812,0.781000018119812,5.0
rung2_amos_ct,amos_0014,0.922876,3.2243,139.253,122.883,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0015,0.852333,89.4364,146.211,127.012,0,0,0.6497395634651184,0.6497395634651184,5.0
rung2_amos_ct,amos_0016,0.551202,30.862,238.907,92.16,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0017,0.636731,187.2484,134.022,252.342,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0018,0.956359,1.692,244.9,234.637,0,0,0.8460000157356262,0.8460000157356262,5.0
rung2_amos_ct,amos_0019,0.868148,11.1965,400.97,317.54,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0021,0.0,,807.321,0.0,0,1,0.8920000195503235,0.8920000195503235,5.0
rung2_amos_ct,amos_0022,0.757915,11.2429,103.388,63.367,0,0,0.5833333134651184,0.5833333134651184,5.0
rung2_amos_ct,amos_0023,0.902921,5.0,178.397,150.141,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0024,0.947293,3.128,245.83,235.259,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0025,0.826886,8.9121,113.954,90.117,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0027,0.936786,1.7486,84.372,80.81,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0029,0.947304,1.7486,178.195,168.035,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0030,0.938373,2.721,147.517,140.55,0,0,0.9070000052452087,0.9070000052452087,5.0
rung2_amos_ct,amos_0032,0.955148,2.0728,321.728,305.161,0,0,0.9269999861717224,0.9269999861717224,5.0
rung2_amos_ct,amos_0033,0.933918,3.91,174.612,163.485,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0034,0.0,217.8225,168.576,1.587,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0035,0.937749,2.883,210.535,205.821,0,0,0.9610000252723694,0.9610000252723694,5.0
rung2_amos_ct,amos_0036,0.845815,334.7084,203.07,221.364,0,0,0.8880000114440918,0.8880000114440918,5.0
rung2_amos_ct,amos_0038,0.955486,1.562,157.626,154.592,0,0,0.781000018119812,0.781000018119812,5.0
rung2_amos_ct,amos_0040,0.672581,33.2324,434.222,221.671,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0041,0.895675,5.693,151.169,143.323,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0042,0.945495,1.7486,102.84,100.908,0,0,0.7820000052452087,0.7820000052452087,5.0
rung2_amos_ct,amos_0043,0.932475,2.529,214.328,192.433,0,0,0.8429999947547913,0.8429999947547913,5.0
rung2_amos_ct,amos_0044,0.924013,5.0257,242.312,231.426,0,0,0.5078125,0.5078125,5.0
rung2_amos_ct,amos_0045,0.950817,1.4558,209.141,193.318,0,0,0.6510416865348816,0.6510416865348816,5.0
