arm,case,dice,hd95_mm,gt_ml,pred_ml,gt_empty,pred_empty,spacing_x,spacing_y,spacing_z
rung3c_amos_mri_zscore,amos_0507,0.745654,16.8321,313.732,192.25,0,0,1.1875,1.1875,2.5
rung3c_amos_mri_zscore,amos_0508,0.672749,206.0345,145.886,89.814,0,0,1.40625,1.5,1.40625
rung3c_amos_mri_zscore,amos_0510,0.231659,57.1453,208.348,29.767,0,0,1.40625,1.5,1.40625
rung3c_amos_mri_zscore,amos_0514,0.011876,96.5619,266.671,1.593,0,0,1.40625,1.5,1.40625
rung3c_amos_mri_zscore,amos_0517,0.250883,75.1332,241.08,34.602,0,0,1.0,1.0,2.0
rung3c_amos_mri_zscore,amos_0518,0.28701,56.9447,144.902,25.378,0,0,1.0,2.0,1.0
rung3c_amos_mri_zscore,amos_0522,0.0,170.7189,198.635,0.493,0,0,1.375,1.375,3.0
rung3c_amos_mri_zscore,amos_0530,0.297582,54.2372,168.749,33.319,0,0,1.1875,1.1875,3.0
rung3c_amos_mri_zscore,amos_0532,0.204096,108.488,634.663,72.207,0,0,1.3125,1.3125,3.0
rung3c_amos_mri_zscore,amos_0538,0.411933,89.1438,144.533,72.532,0,0,1.3125,1.3125,3.0
rung3c_amos_mri_zscore,amos_0540,0.0,,147.171,0.0,0,1,1.953125,1.953125,2.0
rung3c_amos_mri_zscore,amos_0541,,,0.0,0.0,1,1,1.1875,1.1875,3.0
rung3c_amos_mri_zscore,amos_0544,0.0,,70.59,0.0,0,1,0.6944444179534912,0.6944444179534912,3.0
rung3c_amos_mri_zscore,amos_0545,0.0,,93.407,0.0,0,1,1.4062999486923218,1.5,1.4062999486923218
rung3c_amos_mri_zscore,amos_0546,0.167257,52.4516,117.883,10.758,0,0,0.6944444179534912,0.6944444179534912,3.0
rung3c_amos_mri_zscore,amos_0547,0.012203,85.1276,186.064,1.142,0,0,1.1875,1.1875,3.0
rung3c_amos_mri_zscore,amos_0548,0.079486,72.129,114.481,4.738,0,0,1.1875,1.1875,3.0
rung3c_amos_mri_zscore,amos_0549,0.671007,141.6815,187.6,110.623,0,0,1.1875,3.0,1.1875
rung3c_amos_mri_zscore,amos_0550,0.0,,212.057,0.0,0,1,0.6944444179534912,0.6944444179534912,3.0
rung3c_amos_mri_zscore,amos_0551,0.7652,12.1272,230.774,162.827,0,0,0.6944444179534912,0.6944444179534912,3.0
rung3c_amos_mri_zscore,amos_0552,0.003647,61.8972,138.933,0.254,0,0,1.1875,1.1875,3.0
rung3c_amos_mri_zscore,amos_0553,0.0,,161.53,0.0,0,1,1.4062999486923218,1.5,1.4062999486923218
rung3c_amos_mri_zscore,amos_0554,0.42295,223.7308,344.021,125.785,0,0,0.8202999830245972,1.100000023841858,0.8202999830245972
rung3c_amos_mri_zscore,amos_0555,0.06654,59.0842,158.403,5.451,0,0,1.3888888359069824,1.3888888359069824,3.0
rung3c_amos_mri_zscore,amos_0556,0.0,,200.422,0.0,0,1,1.3888888359069824,1.3888888359069824,3.0
rung3c_amos_mri_zscore,amos_0557,0.725163,27.8679,246.34,149.048,0,0,0.8202999830245972,1.100000023841858,0.8202999830245972
rung3c_amos_mri_zscore,amos_0558,0.0,,262.249,0.0,0,1,0.8202999830245972,1.100000023841858,0.8202999830245972
rung3c_amos_mri_zscore,amos_0559,0.835753,9.9728,194.25,145.198,0,0,1.1875,3.0,1.1875
rung3c_amos_mri_zscore,amos_0561,0.0,,198.359,0.0,0,1,0.6944444179534912,0.6944444179534912,3.0
rung3c_amos_mri_zscore,amos_0562,0.0,,611.98,0.0,0,1,1.1875,3.0,1.1875
rung3c_amos_mri_zscore,amos_0563,0.0,,92.976,0.0,0,1,0.6944444179534912,0.6944444179534912,3.0
rung3c_amos_mri_zscore,amos_0568,0.640445,20.1703,170.969,81.143,0,0,0.6944444179534912,0.6944444179534912,3.0
rung3c_amos_mri_zscore,amos_0570,0.530834,29.0704,92.169,33.302,0,0,1.1875,1.1875,3.0
rung3c_amos_mri_zscore,amos_0571,0.002155,81.1719,112.973,0.122,0,0,1.25,1.25,3.0
rung3c_amos_mri_zscore,amos_0572,0.857772,5.9333,131.926,103.793,0,0,0.6944444179534912,0.6944444179534912,3.0
rung3c_amos_mri_zscore,amos_0573,0.904908,6.3949,214.485,213.402,0,0,1.1875,1.1875,3.0
rung3c_amos_mri_zscore,amos_0575,0.845824,117.554,218.647,192.017,0,0,1.4062999486923218,1.5,1.4062999486923218
rung3c_amos_mri_zscore,amos_0576,0.82338,15.4375,258.524,186.822,0,0,1.1875,1.1875,3.0
rung3c_amos_mri_zscore,amos_0578,0.124712,61.7315,207.15,14.04,0,0,0.8202999830245972,1.100000023841858,0.8202999830245972
rung3c_amos_mri_zscore,amos_0580,0.134805,169.6218,133.416,142.622,0,0,1.1875,3.0,1.1875
rung3c_amos_mri_zscore,amos_0581,0.344002,36.27,171.107,35.972,0,0,0.6944444179534912,0.6944444179534912,3.0
rung3c_amos_mri_zscore,amos_0582,0.391431,37.1177,278.881,68.889,0,0,1.1875,3.0,1.1875
rung3c_amos_mri_zscore,amos_0583,0.33451,59.2552,247.74,50.546,0,0,1.1875,3.0,1.1875
rung3c_amos_mri_zscore,amos_0584,0.0,,185.475,0.0,0,1,1.3888888359069824,1.3888888359069824,3.0
rung3c_amos_mri_zscore,amos_0585,0.602681,42.8641,236.61,102.077,0,0,1.1875,1.1875,3.0
rung3c_amos_mri_zscore,amos_0586,0.262998,28.0444,274.225,41.582,0,0,1.4062999486923218,1.5,1.4062999486923218
rung3c_amos_mri_zscore,amos_0587,0.354551,58.9298,272.946,59.023,0,0,1.1875,1.1875,3.0
rung3c_amos_mri_zscore,amos_0588,0.72777,19.6522,192.719,110.39,0,0,0.8202999830245972,1.100000023841858,0.8202999830245972
rung3c_amos_mri_zscore,amos_0589,0.335493,53.5491,133.023,29.541,0,0,1.1875,3.0,1.1875
rung3c_amos_mri_zscore,amos_0590,0.561825,33.9854,447.896,175.01,0,0,0.8202999830245972,1.100000023841858,0.8202999830245972
rung3c_amos_mri_zscore,amos_0591,0.0,,102.221,0.0,0,1,1.1875,1.1875,3.0
rung3c_amos_mri_zscore,amos_0592,0.322051,35.2712,58.899,11.32,0,0,0.8202999830245972,1.100000023841858,0.8202999830245972
rung3c_amos_mri_zscore,amos_0593,0.611069,28.6155,228.576,100.741,0,0,0.6944444179534912,0.6944444179534912,3.0
rung3c_amos_mri_zscore,amos_0594,0.0,,99.044,0.0,0,1,0.8202999830245972,1.100000023841858,0.8202999830245972
rung3c_amos_mri_zscore,amos_0595,0.177329,46.3849,89.009,8.66,0,0,1.1875,1.1875,3.0
rung3c_amos_mri_zscore,amos_0596,0.294701,27.4741,101.09,17.47,0,0,0.8202999830245972,1.100000023841858,0.8202999830245972
rung3c_amos_mri_zscore,amos_0597,0.614271,18.619,232.012,105.326,0,0,1.1875,3.0,1.1875
rung3c_amos_mri_zscore,amos_0598,0.433324,26.0239,171.604,60.597,0,0,1.4062999486923218,1.5,1.4062999486923218
rung3c_amos_mri_zscore,amos_0599,0.0,,243.531,0.0,0,1,1.1875,1.1875,3.0
rung3c_amos_mri_zscore,amos_0600,0.585457,21.408,151.007,71.986,0,0,1.1875,1.1875,3.0
