defect_id,defect_class,detector_id,demo,status,detected,expected_codes,found_codes
STY_SECTION_SYMBOL,style,classical_style,01_wisconsin_bc,INJECTED,yes,SECTION_SYMBOL,SECTION_SYMBOL
STY_SECTION_SYMBOL,style,classical_style,02_metafor_bcg,INJECTED,yes,SECTION_SYMBOL,SECTION_SYMBOL
STY_SECTION_SYMBOL,style,classical_style,03_nhanes_obesity,INJECTED,yes,SECTION_SYMBOL,SECTION_SYMBOL
STY_AI_DISCLOSURE,style,classical_style,01_wisconsin_bc,INJECTED,yes,INBODY_AI_DISCLOSURE,INBODY_AI_DISCLOSURE
STY_AI_DISCLOSURE,style,classical_style,02_metafor_bcg,INJECTED,yes,INBODY_AI_DISCLOSURE,INBODY_AI_DISCLOSURE
STY_AI_DISCLOSURE,style,classical_style,03_nhanes_obesity,INJECTED,yes,INBODY_AI_DISCLOSURE,INBODY_AI_DISCLOSURE
STY_EM_DASH,style,classical_style,01_wisconsin_bc,INJECTED,yes,EM_DASH_OVERUSE,EM_DASH_OVERUSE
STY_EM_DASH,style,classical_style,02_metafor_bcg,INJECTED,yes,EM_DASH_OVERUSE,EM_DASH_OVERUSE
STY_EM_DASH,style,classical_style,03_nhanes_obesity,INJECTED,yes,EM_DASH_OVERUSE,EM_DASH_OVERUSE
SCO_PROGNOSTIC,scope,scope_coherence,03_nhanes_obesity,INJECTED,yes,CROSS_SECTIONAL_PROGNOSTIC,CROSS_SECTIONAL_PROGNOSTIC
COH_CASCADE_SUM,cohort,cohort_arithmetic,03_nhanes_obesity,INJECTED,yes,CASCADE_SUM,CASCADE_SUM
COH_RATE_BACKCALC,cohort,cohort_arithmetic,03_nhanes_obesity,INJECTED,yes,RATE_BACKCALC,RATE_BACKCALC
ART_PROMISED_ABSENT,artifact_coverage,artifact_coverage,fixture_artifact,INJECTED,yes,PROMISED_ABSENT,PROMISED_ABSENT
FRM_BASE_MISSING,framework,framework_naming,01_wisconsin_bc,INJECTED,yes,BASE_MISSING,BASE_MISSING;CITE_MISSING
FRM_BASE_MISSING,framework,framework_naming,02_metafor_bcg,INJECTED,yes,BASE_MISSING,BASE_MISSING;CITE_MISSING
FRM_BASE_MISSING,framework,framework_naming,03_nhanes_obesity,INJECTED,yes,BASE_MISSING,BASE_MISSING;CITE_MISSING
FRM_HYPHEN_MIX,framework,framework_naming,01_wisconsin_bc,INJECTED,yes,HYPHEN_MIX,CITE_MISSING;HYPHEN_MIX
FRM_HYPHEN_MIX,framework,framework_naming,02_metafor_bcg,INJECTED,yes,HYPHEN_MIX,CITE_MISSING;HYPHEN_MIX
FRM_HYPHEN_MIX,framework,framework_naming,03_nhanes_obesity,INJECTED,yes,HYPHEN_MIX,CITE_MISSING;HYPHEN_MIX
GEN_MISSING_SEED_PY,generated_code,generated_code,01_wisconsin_bc,INJECTED,yes,MISSING_SEED,MISSING_SEED
GEN_MISSING_SEED_R,generated_code,generated_code,02_metafor_bcg,INJECTED,yes,MISSING_SEED,MISSING_SEED
GEN_ABS_PATH_PY,generated_code,generated_code,01_wisconsin_bc,INJECTED,yes,HARDCODED_ABS_PATH,HARDCODED_ABS_PATH
GEN_ABS_PATH_R,generated_code,generated_code,02_metafor_bcg,INJECTED,yes,HARDCODED_ABS_PATH,HARDCODED_ABS_PATH
GEN_INPLACE_OVERWRITE_PY,generated_code,generated_code,01_wisconsin_bc,INJECTED,yes,INPLACE_SOURCE_OVERWRITE,INPLACE_SOURCE_OVERWRITE
CIT_PAGINATION,citation,verify_refs,fixture,INJECTED,yes,PAGINATION_PLACEHOLDER,PAGINATION_PLACEHOLDER;UNVERIFIED
CIT_DUPLICATE,citation,verify_refs,fixture,INJECTED,yes,DUPLICATE,DUPLICATE;UNVERIFIED
CIT_UNDEFINED_KEY,citation,citation_keys,fixture,INJECTED,yes,UNDEFINED,UNDEFINED
CIT_FAKE_DOI,citation,verify_refs,fixture,NOT_RUN,,FABRICATED,
CIT_WRONG_AUTHOR,citation,verify_refs,fixture,NOT_RUN,,MISMATCH,
