defect_id,demo,llm_detected
STY_SECTION_SYMBOL,01_wisconsin_bc,yes
STY_SECTION_SYMBOL,02_metafor_bcg,no
STY_SECTION_SYMBOL,03_nhanes_obesity,no
STY_AI_DISCLOSURE,01_wisconsin_bc,no
STY_AI_DISCLOSURE,02_metafor_bcg,no
STY_AI_DISCLOSURE,03_nhanes_obesity,no
STY_EM_DASH,01_wisconsin_bc,no
STY_EM_DASH,02_metafor_bcg,no
STY_EM_DASH,03_nhanes_obesity,no
SCO_PROGNOSTIC,03_nhanes_obesity,yes
COH_CASCADE_SUM,03_nhanes_obesity,yes
COH_RATE_BACKCALC,03_nhanes_obesity,no
ART_PROMISED_ABSENT,fixture_artifact,yes
FRM_BASE_MISSING,01_wisconsin_bc,yes
FRM_BASE_MISSING,02_metafor_bcg,yes
FRM_BASE_MISSING,03_nhanes_obesity,yes
FRM_HYPHEN_MIX,01_wisconsin_bc,no
FRM_HYPHEN_MIX,02_metafor_bcg,yes
FRM_HYPHEN_MIX,03_nhanes_obesity,yes
GEN_MISSING_SEED_PY,01_wisconsin_bc,yes
GEN_MISSING_SEED_R,02_metafor_bcg,no
GEN_ABS_PATH_PY,01_wisconsin_bc,no
GEN_ABS_PATH_R,02_metafor_bcg,no
GEN_INPLACE_OVERWRITE_PY,01_wisconsin_bc,no
CIT_PAGINATION,fixture,no
CIT_DUPLICATE,fixture,no
CIT_UNDEFINED_KEY,fixture,yes
