detector,skill,script_exists,fixture_exists,regression_test_exists,demo_output_uses_it,qc_artifact_contract,doc_reference_exists
check_generated_code,analyze-stats,yes,yes,yes,yes,yes,yes
check_checklist_exists,check-reporting,yes,yes,yes,yes,no,yes
check_framework_naming,check-reporting,yes,yes,yes,yes,yes,yes
check_prisma_figure,check-reporting,yes,yes,no,yes,yes,yes
check_structural_zero,clean-data,yes,yes,yes,no,yes,yes
derive_figure_legend_counts,make-figures,yes,yes,yes,no,yes,yes
check_citation_keys,manage-refs,yes,no,no,no,no,yes
check_csl_render,manage-refs,yes,no,no,no,no,no
check_xref,manage-refs,yes,no,yes,yes,yes,yes
check_pool_consistency,meta-analysis,yes,yes,yes,yes,yes,yes
check_artifact_coverage,self-review,yes,yes,yes,yes,yes,yes
check_claim_artifact,self-review,yes,yes,yes,yes,yes,yes
check_classical_style,self-review,yes,yes,yes,yes,yes,yes
check_cohort_arithmetic,self-review,yes,yes,yes,yes,yes,yes
check_confounding_completeness,self-review,yes,yes,yes,yes,yes,yes
check_panel_diversity,self-review,yes,yes,yes,no,yes,yes
check_reference_adequacy,self-review,yes,yes,yes,yes,yes,yes
check_reviewer_team_consistency,self-review,yes,yes,yes,yes,yes,yes
check_scope_coherence,self-review,yes,yes,yes,yes,yes,yes
detect_copy_divergence,sync-submission,yes,yes,yes,no,yes,yes
verify_refs,verify-refs,yes,no,yes,no,yes,yes
