date,stars,forks,watchers,release_downloads,views_14d,unique_views_14d,clones_14d,unique_clones_14d,zenodo_views,zenodo_downloads
2026-06-06,134,36,3,220,1636,560,8566,791,,
2026-06-08,136,36,3,237,,,,,0,0
2026-06-15,148,37,3,270,,,,,24,0
2026-06-21,157,41,6,290,,,,,0,0
2026-06-22,160,42,6,294,,,,,0,0
2026-06-24,163,43,6,300,1868,679,9169,1079,,
2026-06-24,163,43,6,300,1868,679,9169,1079,0,0
2026-06-29,169,45,6,328,2122,681,11047,1105,0,0
2026-07-06,184,47,6,392,2378,710,11308,1200,4,7
2026-07-08,,,,,,,,,3,0
2026-07-09,,,,,,,,,3,0
2026-07-09,190,48,7,413,,,,,4,0
2026-07-10,190,48,7,413,2302,682,9478,1164,4,0
2026-07-13,198,48,8,438,2180,647,7234,1083,0,0
